,location,total_sqft,bath,price,bhk,encoded_location
2375,Anandapura,1576.0,3.0,59.1,3,16
2376,Sompura,1020.0,2.0,41.0,2,203
2377,others,2100.0,3.0,170.0,3,230
2378,Raja Rajeshwari Nagar,648.0,1.0,31.75,1,184
2379,Neeladri Nagar,1167.0,2.0,38.0,3,173
2380,Hoodi,1220.0,2.0,50.89,2,97
2381,Vittasandra,1259.0,2.0,67.4,2,223
2382,Gottigere,2000.0,4.0,82.0,4,82
2383,8th Phase JP Nagar,1800.0,3.0,80.0,3,8
2384,others,1991.0,3.0,160.0,3,230
2385,Bannerghatta,1665.0,3.0,110.0,3,34
2386,others,1234.0,2.0,61.0,2,230
2387,Mysore Road,1340.0,2.0,64.31,3,166
2388,Banashankari,1170.0,2.0,46.79,2,27
2389,Electronics City Phase 1,995.0,2.0,46.0,2,76
2390,Old Airport Road,1075.0,2.0,60.0,2,176
2391,Electronic City,1025.0,2.0,54.5,2,74
2392,Rachenahalli,2721.0,3.0,113.0,3,183
2393,Thanisandra,2000.0,3.0,99.0,3,209
2394,Whitefield,2500.0,4.0,155.0,4,224
2395,Mallasandra,1325.0,2.0,70.0,2,158
2396,Kadugodi,1314.0,2.0,68.2,2,117
2397,Kanakpura Road,2265.0,3.0,136.0,3,127
2398,Yelahanka,1026.0,2.0,41.0,2,226
2399,others,1200.0,3.0,66.0,3,230
2400,others,2220.0,4.0,65.0,3,230
2401,KR Puram,1192.5,2.0,51.22,2,115
2402,Sarjapur  Road,1888.0,4.0,95.0,3,194
2403,JP Nagar,1300.0,2.0,90.87,2,109
2404,Rajaji Nagar,1216.0,2.0,97.16,2,185
2405,Begur,1559.0,3.0,63.0,3,39
2406,Harlur,1290.0,2.0,87.0,2,91
2407,Whitefield,905.0,1.0,55.0,1,224
2408,others,1069.0,2.0,55.0,2,230
2409,Sarjapur  Road,1300.0,3.0,60.0,3,194
2410,Channasandra,1115.0,2.0,33.45,2,57
2411,Ambedkar Nagar,2150.0,4.0,125.0,3,14
2412,Marathahalli,1305.0,2.0,69.0,3,161
2413,Kanakpura Road,1252.0,2.0,56.32,2,127
2414,Whitefield,1200.0,2.0,46.13,2,224
2415,others,1375.0,2.0,105.0,2,230
2416,Subramanyapura,1313.0,2.0,66.5,2,205
2417,Attibele,3640.0,4.0,275.0,4,22
2418,others,1693.0,3.0,108.0,3,230
2419,others,1160.0,2.0,41.75,2,230
2420,Subramanyapura,1255.0,2.0,79.0,3,205
2421,others,900.0,2.0,45.0,2,230
2422,Yelahanka New Town,1700.0,3.0,90.0,3,227
2423,Uttarahalli,1700.0,3.0,88.0,3,216
2424,Harlur,1749.0,3.0,115.0,3,91
2425,Dasanapura,1500.0,3.0,65.0,2,64
2426,others,1175.0,2.0,48.0,2,230
2427,Akshaya Nagar,1280.0,2.0,60.0,2,12
2428,others,1200.0,2.0,50.0,2,230
2429,Ramagondanahalli,1610.0,2.0,115.0,3,187
2430,Electronic City,1070.0,2.0,46.0,2,74
2431,TC Palaya,1200.0,2.0,66.0,2,207
2432,9th Phase JP Nagar,1127.0,2.0,50.0,2,9
2433,others,600.0,2.0,23.0,2,230
2434,others,1364.0,2.0,70.0,2,230
2435,Whitefield,2268.0,3.0,146.0,4,224
2436,others,1150.0,2.0,77.5,3,230
2437,others,1146.0,2.0,39.5,2,230
2438,Magadi Road,1345.0,2.0,55.0,2,155
2439,others,1110.0,2.0,41.0,2,230
2440,Kengeri,750.0,2.0,36.0,2,135
2441,others,1156.0,2.0,49.5,2,230
2442,others,1247.0,2.0,59.8,2,230
2443,others,1058.0,2.0,60.0,2,230
2444,Kaggalipura,950.0,2.0,48.0,2,119
2445,Vijayanagar,1520.0,2.0,103.0,3,220
2446,others,900.0,1.0,30.0,1,230
2447,Hennur Road,2350.0,3.0,174.0,3,96
2448,Thanisandra,1050.0,2.0,46.0,2,209
2449,Laggere,2800.0,5.0,125.0,5,152
2450,others,1500.0,2.0,65.0,3,230
2451,others,1400.0,2.0,65.0,2,230
2452,8th Phase JP Nagar,2700.0,4.0,130.0,4,8
2453,Bommasandra,920.0,2.0,37.46,2,49
2454,Sarjapur  Road,1200.0,3.0,70.0,3,194
2455,Haralur Road,1464.0,2.0,56.0,2,90
2456,Electronics City Phase 1,1555.0,2.0,82.0,3,76
2457,Whitefield,1150.0,2.0,55.0,2,224
2458,Kadubeesanahalli,970.0,2.0,35.0,2,116
2459,Banashankari,2500.0,4.0,95.0,4,27
2460,others,1166.0,2.0,53.0,2,230
2461,Electronic City,1350.0,3.0,58.0,3,74
2462,others,900.0,2.0,46.0,2,230
2463,others,1190.0,3.0,55.0,3,230
2464,Kodichikkanahalli,1495.0,2.0,75.0,3,138
2465,Banashankari Stage III,1350.0,2.0,68.0,3,29
2466,Green Glen Layout,940.0,2.0,56.8,2,83
2467,Raja Rajeshwari Nagar,1100.0,2.0,55.0,2,184
2468,Kaikondrahalli,1300.0,2.0,61.0,2,120
2469,Hoodi,1105.0,2.0,46.37,2,97
2470,Sarjapur  Road,2600.0,3.0,200.0,3,194
2471,Yelahanka,1517.0,3.0,76.3,3,226
2472,Jalahalli,1615.0,3.0,89.75,3,111
2473,others,1500.0,3.0,65.0,3,230
2474,Mysore Road,1082.0,3.0,50.5,3,166
2475,Marathahalli,1365.0,2.0,73.0,2,161
2476,CV Raman Nagar,1392.0,2.0,98.0,2,54
2477,Kodigehalli,1086.0,2.0,33.66,2,140
2478,Hennur Road,1586.0,3.0,93.94,3,96
2479,Hennur,1100.0,2.0,60.0,2,95
2480,TC Palaya,1500.0,2.0,120.0,3,207
2481,7th Phase JP Nagar,1575.0,2.0,120.0,3,7
2482,Hennur Road,1975.0,3.0,123.0,3,96
2483,others,820.0,2.0,24.0,2,230
2484,Gubbalala,1745.0,3.0,110.0,3,84
2485,Nagarbhavi,1223.0,2.0,60.0,2,169
2486,Ananth Nagar,1200.0,2.0,65.0,3,17
2487,Basaveshwara Nagar,1200.0,2.0,90.0,2,37
2488,Binny Pete,665.0,1.0,46.08,1,46
2489,Bharathi Nagar,1351.0,2.0,70.0,2,43
2490,Sector 7 HSR Layout,3900.0,3.0,300.0,3,197
2491,Thanisandra,1588.0,3.0,75.55,3,209
2492,Amruthahalli,900.0,2.0,60.0,2,15
2493,Harlur,3385.0,4.0,260.0,4,91
2494,Panathur,1370.0,2.0,75.0,3,180
2495,Whitefield,1500.0,3.0,71.8,3,224
2496,Hoodi,1247.0,2.0,53.0,2,97
2497,Balagere,1020.07,2.0,68.38,2,26
2498,others,1033.0,2.0,32.0,3,230
2499,others,1460.0,2.0,73.0,3,230
2500,Garudachar Palya,1150.0,2.0,52.8,2,79
2501,Sarjapur  Road,5965.0,5.0,385.0,5,194
2502,Babusapalaya,1141.0,2.0,46.0,2,25
2503,Doddaballapur,4200.0,4.0,325.0,4,68
2504,Hosa Road,1665.0,2.0,125.0,3,101
2505,Kanakapura,1295.0,2.0,64.0,2,126
2506,Haralur Road,1230.0,2.0,78.0,2,90
2507,others,1080.0,2.0,75.0,3,230
2508,Kaggalipura,1000.0,2.0,60.0,2,119
2509,Whitefield,630.5,1.0,32.79,1,224
2510,Rayasandra,1708.0,3.0,75.0,3,189
2511,Thanisandra,1697.0,3.0,115.0,3,209
2512,Whitefield,3537.0,5.0,210.0,4,224
2513,Hosa Road,615.0,1.0,28.29,1,101
2514,Banashankari,1350.0,2.0,83.0,3,27
2515,Kanakpura Road,1530.0,2.0,66.4,3,127
2516,Jalahalli,1083.0,2.0,32.49,2,111
2517,Gottigere,1460.0,2.0,65.0,3,82
2518,Babusapalaya,1084.0,2.0,58.0,2,25
2519,Bommasandra,1035.0,2.0,41.43,2,49
2520,others,2400.0,2.0,150.0,3,230
2521,Hosur Road,460.0,1.0,21.0,1,104
2522,Whitefield,1285.0,2.0,55.9,2,224
2523,Sarjapur,1200.0,3.0,78.0,3,193
2524,others,1070.0,2.0,35.0,2,230
2525,Hegde Nagar,1801.0,3.0,140.0,3,94
2526,Whitefield,1697.0,3.0,115.0,3,224
2527,AECS Layout,1199.0,2.0,65.0,2,10
2528,Marathahalli,3800.0,4.0,205.0,4,161
2529,others,1125.0,2.0,75.0,2,230
2530,Anandapura,1200.0,2.0,67.0,2,16
2531,Subramanyapura,1050.0,2.0,41.0,2,205
2532,Nagarbhavi,956.0,2.0,49.0,2,169
2533,Sarjapur,1000.0,2.0,30.0,2,193
2534,others,1596.0,3.0,95.0,3,230
2535,Kanakpura Road,1296.0,2.0,89.06,2,127
2536,others,1639.0,3.0,123.0,3,230
2537,Electronic City Phase II,1219.0,2.0,61.25,2,75
2538,Uttarahalli,1200.0,3.0,50.0,3,216
2539,Bannerghatta Road,1218.0,2.0,73.0,2,35
2540,others,920.0,2.0,37.0,2,230
2541,Yeshwanthpur,2559.0,3.0,141.0,3,229
2542,others,525.0,1.0,26.0,1,230
2543,Bannerghatta Road,1427.0,2.0,48.51,3,35
2544,Kothannur,1270.0,3.0,45.0,3,145
2545,Ramagondanahalli,920.0,2.0,65.0,2,187
2546,Ramamurthy Nagar,1355.0,2.0,40.0,3,188
2547,Lingadheeranahalli,1530.0,2.0,90.0,3,154
2548,others,1372.0,2.0,90.0,3,230
2549,Nehru Nagar,2363.0,5.0,120.0,4,174
2550,Marathahalli,3895.0,4.0,220.0,4,161
2551,Jakkur,1950.0,3.0,131.0,3,110
2552,others,885.0,2.0,40.0,2,230
2553,Yelahanka,600.0,2.0,27.0,2,226
2554,Kanakpura Road,1339.0,2.0,62.0,2,127
2555,Whitefield,1130.0,2.0,36.0,2,224
2556,Uttarahalli,1085.0,2.0,43.0,2,216
2557,Yeshwanthpur,1430.0,3.0,72.0,3,229
2558,others,1490.0,2.0,59.6,3,230
2559,others,1650.0,4.0,99.0,4,230
2560,Bellandur,1286.0,2.0,57.0,2,41
2561,others,925.0,2.0,63.0,2,230
2562,Bellandur,3016.0,4.0,230.0,4,41
2563,Haralur Road,1000.0,2.0,44.0,2,90
2564,Whitefield,1215.0,2.0,39.0,2,224
2565,others,1200.0,3.0,95.0,4,230
2566,Lakshminarayana Pura,1336.0,2.0,100.0,2,153
2567,Yeshwanthpur,673.0,1.0,36.85,1,229
2568,Anandapura,1200.0,2.0,58.0,2,16
2569,others,1200.0,2.0,79.0,2,230
2570,Devanahalli,2400.0,5.0,100.0,5,66
2571,Sector 2 HSR Layout,1143.0,2.0,65.0,2,196
2572,Kanakpura Road,1470.0,2.0,61.74,2,127
2573,Marathahalli,1785.0,3.0,94.0,3,161
2574,Kothanur,1460.0,3.0,71.0,3,146
2575,Kasturi Nagar,1500.0,2.0,80.0,3,131
2576,Sanjay nagar,3300.0,3.0,250.0,5,191
2577,Chikkalasandra,1230.0,2.0,48.0,2,60
2578,Yelahanka New Town,650.0,1.0,20.0,1,227
2579,Benson Town,1480.0,2.0,120.0,2,42
2580,Thanisandra,1220.0,2.0,43.92,2,209
2581,others,1570.0,3.0,115.0,3,230
2582,Mallasandra,1665.0,3.0,86.91,3,158
2583,Ramamurthy Nagar,1100.0,2.0,68.0,2,188
2584,Kathriguppe,1350.0,2.0,87.01,3,132
2585,Kasavanhalli,1719.0,3.0,116.0,3,130
2586,Budigere,664.0,1.0,35.0,1,53
2587,Sonnenahalli,1011.0,2.0,50.53,2,204
2588,others,2400.0,6.0,130.0,6,230
2589,others,1680.0,3.0,85.0,3,230
2590,Yeshwanthpur,717.0,2.0,49.475,2,229
2591,Uttarahalli,1350.0,2.0,53.0,3,216
2592,others,875.0,2.0,33.0,2,230
2593,Hennur,1231.0,2.0,48.0,2,95
2594,Somasundara Palya,1174.0,2.0,74.0,2,202
2595,Munnekollal,1560.0,3.0,75.0,3,164
2596,others,1464.0,2.0,56.0,2,230
2597,Kanakpura Road,2200.0,3.0,130.0,3,127
2598,Shivaji Nagar,850.0,2.0,55.0,2,200
2599,1st Phase JP Nagar,2024.0,3.0,157.0,3,2
2600,Devanahalli,1080.0,2.0,44.0,2,66
2601,Begur Road,1500.0,2.0,55.0,3,40
2602,Kodichikkanahalli,3250.0,4.0,180.0,4,138
2603,Channasandra,1030.0,2.0,34.5,2,57
2604,Hebbal,1440.0,2.0,115.0,2,92
2605,Hoodi,1500.0,2.0,84.0,2,97
2606,Thanisandra,1380.0,1.0,62.1,1,209
2607,others,1200.0,2.0,50.0,2,230
2608,others,705.0,1.0,36.5,1,230
2609,Hegde Nagar,1584.01,3.0,103.0,3,94
2610,others,1340.0,3.0,77.0,3,230
2611,others,1800.0,3.0,70.0,3,230
2612,R.T. Nagar,1200.0,2.0,45.0,2,182
2613,Sarjapur  Road,685.0,1.0,40.0,1,194
2614,others,925.0,2.0,42.0,2,230
2615,others,1230.0,2.0,57.0,2,230
2616,Kodichikkanahalli,1125.0,2.0,52.0,2,138
2617,Hebbal,1100.0,2.0,54.0,2,92
2618,Jigani,2400.0,3.0,149.0,3,113
2619,Electronic City Phase II,1400.0,2.0,41.58,3,75
2620,Jakkur,1858.0,3.0,98.3,3,110
2621,Ambedkar Nagar,3530.0,4.0,290.0,4,14
2622,HSR Layout,1185.0,2.0,60.0,2,89
2623,Hennur,1255.0,2.0,58.0,2,95
2624,Kudlu Gate,1335.0,3.0,89.0,3,148
2625,Dodda Nekkundi,1999.0,3.0,132.0,3,67
2626,Kundalahalli,1397.0,3.0,110.0,3,150
2627,Chikka Tirupathi,1616.0,3.0,95.0,3,58
2628,Raja Rajeshwari Nagar,1140.0,2.0,38.55,2,184
2629,Varthur,1200.0,2.0,98.0,3,217
2630,Balagere,1205.47,2.0,81.0,2,26
2631,Electronic City,1700.0,3.0,75.0,3,74
2632,Kanakpura Road,1090.0,2.0,54.54,2,127
2633,Yeshwanthpur,3600.0,5.0,220.0,4,229
2634,Thanisandra,923.0,1.0,60.84,1,209
2635,Green Glen Layout,1050.0,2.0,48.0,2,83
2636,Hennur Road,1664.0,2.0,93.865,3,96
2637,others,1485.0,3.0,85.0,3,230
2638,Dommasandra,1033.0,2.0,31.5,3,72
2639,Electronic City,1400.0,2.0,48.0,3,74
2640,Sarjapur  Road,944.0,2.0,35.0,2,194
2641,Whitefield,1216.0,2.0,66.48,2,224
2642,others,1100.0,2.0,39.5,2,230
2643,Thanisandra,1743.0,3.0,93.25,3,209
2644,Yelahanka,1274.0,2.0,48.42,2,226
2645,Mysore Road,1512.0,2.0,110.0,3,166
2646,Cox Town,1650.0,3.0,100.0,3,63
2647,Doddathoguru,1875.0,3.0,55.0,3,70
2648,Whitefield,1350.0,3.0,54.0,3,224
2649,others,1219.0,2.0,40.0,2,230
2650,Sarjapura - Attibele Road,2400.0,3.0,85.0,3,195
2651,Hormavu,1141.0,2.0,44.4,2,100
2652,Anandapura,1151.0,2.0,43.1,2,16
2653,Sarjapur  Road,915.0,2.0,38.0,2,194
2654,others,3259.0,3.0,270.0,3,230
2655,Bannerghatta Road,1115.0,2.0,65.12,2,35
2656,Thigalarapalya,2072.0,4.0,139.0,3,210
2657,Kaggadasapura,1200.0,2.0,53.0,2,118
2658,Singasandra,1300.0,2.0,65.0,2,201
2659,Bellandur,1457.0,2.0,85.0,2,41
2660,Kannamangala,1262.0,2.0,55.0,2,128
2661,Attibele,420.0,1.0,17.0,1,22
2662,Kanakapura,1160.0,2.0,46.39,2,126
2663,Kasavanhalli,1115.0,2.0,50.0,2,130
2664,JP Nagar,1315.0,2.0,85.4,3,109
2665,Babusapalaya,1500.0,2.0,57.0,2,25
2666,HSR Layout,1127.0,2.0,68.0,2,89
2667,Kundalahalli,1397.0,3.0,104.0,3,150
2668,Whitefield,1173.0,2.0,60.0,2,224
2669,Jakkur,1230.0,2.0,76.0,2,110
2670,others,3200.0,3.0,190.0,4,230
2671,Sarjapur  Road,858.0,2.0,31.57,2,194
2672,Talaghattapura,1868.0,3.0,121.0,3,208
2673,Uttarahalli,1689.28,3.0,91.2,3,216
2674,Banashankari,1425.0,3.0,49.88,3,27
2675,Tindlu,1350.0,2.0,100.0,2,213
2676,Channasandra,4200.0,6.0,180.0,6,57
2677,Uttarahalli,1310.0,2.0,85.0,3,216
2678,Haralur Road,3185.0,2.0,175.0,4,90
2679,others,970.0,2.0,40.0,2,230
2680,Kundalahalli,1397.0,3.0,108.0,3,150
2681,Sarjapur,1157.0,2.0,40.0,2,193
2682,Kasavanhalli,1125.0,2.0,61.2,2,130
2683,Sonnenahalli,1157.0,2.0,42.0,2,204
2684,Sarjapur  Road,1241.0,2.0,82.0,2,194
2685,Marathahalli,4000.0,4.0,220.0,4,161
2686,Rajiv Nagar,2340.0,4.0,148.0,4,186
2687,others,596.0,1.0,42.0,1,230
2688,Brookefield,1139.0,2.0,80.0,2,52
2689,Thigalarapalya,3122.0,5.0,225.0,4,210
2690,Yeshwanthpur,1168.0,2.0,64.08,2,229
2691,Chandapura,877.0,2.0,42.0,2,56
2692,Electronics City Phase 1,1340.0,2.0,75.0,2,76
2693,others,1405.0,2.0,70.0,3,230
2694,others,1800.0,3.0,65.0,3,230
2695,others,1360.0,2.0,65.0,3,230
2696,others,985.0,2.0,63.0,2,230
2697,others,1490.0,2.0,88.0,3,230
2698,others,620.0,1.0,25.0,2,230
2699,Hormavu,1130.0,2.0,42.3,2,100
2700,Yelachenahalli,1080.0,2.0,55.0,2,225
2701,Singasandra,3126.0,4.0,120.0,4,201
2702,Begur Road,1410.0,2.0,52.17,3,40
2703,Bommanahalli,1375.0,3.0,59.0,3,48
2704,Hennur Road,1290.0,2.0,94.5,3,96
2705,Hosa Road,1318.0,2.0,85.28,3,101
2706,Electronic City,1128.0,2.0,68.0,2,74
2707,others,4428.0,4.0,255.0,4,230
2708,Kanakpura Road,1051.0,2.0,56.74,2,127
2709,Kannamangala,2400.0,4.0,130.0,4,128
2710,Yelahanka,1327.0,2.0,85.0,2,226
2711,others,1301.0,2.0,55.0,2,230
2712,others,650.0,1.0,30.0,1,230
2713,Varthur,1200.0,3.0,67.75,3,217
2714,others,1500.0,2.0,89.99,3,230
2715,Sarjapur  Road,984.0,2.0,45.91,2,194
2716,others,910.0,1.0,42.0,1,230
2717,others,1250.0,3.0,39.0,3,230
2718,Hosakerehalli,1304.0,2.0,100.0,2,102
2719,Begur Road,1615.0,3.0,58.0,3,40
2720,Sarjapur  Road,1400.0,2.0,68.0,2,194
2721,CV Raman Nagar,1070.0,2.0,47.5,2,54
2722,Hoodi,1132.0,2.0,89.37,2,97
2723,others,2000.0,3.0,85.0,3,230
2724,Sector 2 HSR Layout,794.0,1.0,65.0,1,196
2725,Raja Rajeshwari Nagar,1090.0,2.0,43.59,2,184
2726,Gottigere,1500.0,3.0,70.0,3,82
2727,Whitefield,1269.0,2.0,75.0,2,224
2728,Kanakpura Road,1070.0,2.0,37.45,2,127
2729,Marathahalli,1208.0,2.0,70.0,2,161
2730,Ramamurthy Nagar,1185.0,2.0,45.5,2,188
2731,Anekal,888.0,2.0,34.0,2,18
2732,others,532.0,1.0,22.49,1,230
2733,others,1060.0,3.0,62.0,3,230
2734,Electronic City,700.0,1.0,35.0,1,74
2735,others,902.0,2.0,42.0,2,230
2736,Doddathoguru,984.0,2.0,51.0,2,70
2737,Hebbal,2700.0,2.0,100.0,4,92
2738,Jalahalli East,1475.0,3.0,96.0,3,112
2739,Haralur Road,1300.0,2.0,79.0,2,90
2740,Babusapalaya,1453.0,2.0,43.59,3,25
2741,Akshaya Nagar,1666.0,3.0,95.0,3,12
2742,Murugeshpalya,1845.0,3.0,91.0,3,165
2743,Sarjapura - Attibele Road,1676.0,3.0,52.0,3,195
2744,Uttarahalli,1137.0,2.0,63.0,2,216
2745,Electronic City,1360.0,2.0,70.5,3,74
2746,others,1374.0,2.0,70.0,3,230
2747,Whitefield,3227.0,5.0,250.0,5,224
2748,others,2145.0,4.0,125.0,4,230
2749,Kasavanhalli,2170.0,3.0,151.0,3,130
2750,others,1080.0,2.0,55.0,2,230
2751,Electronic City Phase II,1790.0,3.0,100.0,3,75
2752,Doddathoguru,550.0,1.0,17.0,1,70
2753,Somasundara Palya,1033.0,2.0,48.0,2,202
2754,others,1000.0,2.0,80.0,2,230
2755,others,1240.0,2.0,52.6,2,230
2756,others,1500.0,2.0,97.0,3,230
2757,Marathahalli,1730.0,3.0,139.0,3,161
2758,Kasavanhalli,1915.0,3.0,80.0,3,130
2759,Whitefield,1545.0,3.0,79.0,3,224
2760,others,1865.0,4.0,140.0,3,230
2761,Hebbal Kempapura,1150.0,2.0,40.0,2,93
2762,others,1200.0,2.0,49.0,2,230
2763,Kengeri,963.0,2.0,40.0,2,135
2764,Kaikondrahalli,1700.0,4.0,108.0,4,120
2765,Lingadheeranahalli,1682.0,3.0,120.0,3,154
2766,Yelahanka,1371.0,2.0,65.0,3,226
2767,Hennur Road,901.0,2.0,49.5,2,96
2768,Ambalipura,1730.0,3.0,120.0,3,13
2769,EPIP Zone,1500.0,3.0,102.0,3,73
2770,others,3500.0,4.0,245.0,4,230
2771,others,1203.0,2.0,59.86,2,230
2772,Horamavu Banaswadi,1357.0,2.0,54.0,2,99
2773,others,1600.0,3.0,76.0,3,230
2774,Yelahanka New Town,350.0,1.0,13.5,1,227
2775,Varthur,1665.0,3.0,53.0,3,217
2776,Sarjapur  Road,835.0,1.0,46.95,1,194
2777,Haralur Road,1444.0,2.0,80.0,3,90
2778,Kanakapura,1277.0,2.0,55.0,2,126
2779,Lingadheeranahalli,1521.0,3.0,94.71,3,154
2780,others,1134.0,2.0,40.0,2,230
2781,others,995.0,2.0,34.82,2,230
2782,Marathahalli,1325.0,1.0,92.0,2,161
2783,Kothanur,4000.0,6.0,150.0,6,146
2784,Marathahalli,1525.0,3.0,90.0,3,161
2785,others,1320.0,2.0,73.0,3,230
2786,Electronics City Phase 1,650.0,1.0,23.0,1,76
2787,Electronic City,1150.0,2.0,38.0,2,74
2788,Electronic City Phase II,769.0,2.0,40.0,2,75
2789,Electronic City,1571.0,3.0,105.0,3,74
2790,Hennur Road,1445.0,3.0,86.56,3,96
2791,Bommasandra,902.0,2.0,49.0,2,49
2792,Sarjapur,2238.0,3.0,140.0,3,193
2793,Yelahanka,1712.0,3.0,82.0,3,226
2794,Haralur Road,1088.0,2.0,68.0,2,90
2795,Somasundara Palya,1575.0,3.0,63.1,3,202
2796,Kundalahalli,1920.0,3.0,150.0,3,150
2797,Margondanahalli,1000.0,2.0,57.0,2,162
2798,others,1100.0,2.0,56.1,2,230
2799,Electronic City,1089.0,2.0,45.0,2,74
2800,Horamavu Agara,1106.0,2.0,43.09,2,98
2801,Kengeri,927.0,2.0,37.0,2,135
2802,Kanakpura Road,1339.0,2.0,58.0,2,127
2803,Thanisandra,923.0,1.0,45.69,1,209
2804,Lakshminarayana Pura,1175.0,2.0,75.0,2,153
2805,Thubarahalli,975.0,2.0,55.0,2,211
2806,Hebbal,2400.0,4.0,180.0,3,92
2807,Subramanyapura,1330.0,3.0,72.0,3,205
2808,Thanisandra,1183.0,2.0,59.74,2,209
2809,Harlur,1758.0,3.0,133.0,3,91
2810,Pai Layout,1100.0,2.0,50.0,2,179
2811,Ramamurthy Nagar,1170.0,2.0,46.8,2,188
2812,others,2400.0,5.0,120.0,5,230
2813,Raja Rajeshwari Nagar,1530.0,3.0,51.77,3,184
2814,Hebbal,1420.0,2.0,107.0,2,92
2815,Kanakpura Road,1591.0,3.0,115.0,3,127
2816,others,675.0,3.0,52.0,2,230
2817,Hoodi,1055.0,2.0,57.63,2,97
2818,Iblur Village,1918.0,3.0,129.0,3,107
2819,Sarjapur  Road,1280.0,2.0,76.0,2,194
2820,Nagarbhavi,1560.0,3.0,66.0,3,169
2821,Sarjapur  Road,1145.0,2.0,49.5,2,194
2822,others,1801.0,3.0,139.0,3,230
2823,Hebbal,1320.0,2.0,92.0,2,92
2824,others,1350.0,2.0,65.0,3,230
2825,Kalyan nagar,3800.0,5.0,300.0,4,122
2826,Bannerghatta Road,1344.0,2.0,42.0,3,35
2827,Bannerghatta Road,1893.0,3.0,100.0,3,35
2828,Chandapura,1107.0,2.0,43.0,3,56
2829,Lakshminarayana Pura,1190.0,2.0,75.0,2,153
2830,Whitefield,1000.0,2.0,35.0,2,224
2831,others,2400.0,2.0,160.0,2,230
2832,Kumaraswami Layout,1000.0,2.0,48.5,2,149
2833,Jalahalli,2113.0,3.0,155.0,3,111
2834,KR Puram,1100.0,2.0,46.0,2,115
2835,Harlur,1884.0,4.0,120.0,4,91
2836,Electronic City,1110.0,2.0,40.0,2,74
2837,others,1250.0,3.0,40.0,3,230
2838,Sarjapur  Road,1470.0,3.0,62.0,3,194
2839,others,1150.0,2.0,75.0,2,230
2840,Kudlu Gate,703.0,1.0,52.0,1,148
2841,others,1400.0,2.0,62.0,3,230
2842,Bellandur,1195.0,2.0,51.0,2,41
2843,others,1302.0,2.0,69.1,2,230
2844,Begur Road,1583.0,3.0,74.4,3,40
2845,others,1488.0,2.0,60.0,3,230
2846,Whitefield,3262.0,4.0,260.0,4,224
2847,Electronic City,1600.0,3.0,104.0,3,74
2848,Old Airport Road,1150.0,2.0,90.0,2,176
2849,Sarjapur  Road,1263.0,2.0,78.0,2,194
2850,Kanakpura Road,1299.0,2.0,85.0,2,127
2851,Banashankari,1330.0,2.0,78.0,2,27
2852,Devanahalli,1282.0,2.0,52.43,3,66
2853,others,1853.0,3.0,82.0,3,230
2854,others,861.0,2.0,35.0,2,230
2855,Bannerghatta Road,1600.0,3.0,95.0,3,35
2856,others,1256.0,2.0,62.8,2,230
2857,others,1390.0,2.0,80.0,3,230
2858,others,1550.0,2.0,90.0,3,230
2859,Hebbal,919.0,2.0,49.0,2,92
2860,Margondanahalli,1625.0,3.0,80.0,3,162
2861,Gunjur,1195.0,2.0,44.0,2,85
2862,Yelenahalli,1159.0,2.0,60.0,2,228
2863,Whitefield,1386.0,3.0,57.46,3,224
2864,Harlur,1197.0,2.0,79.0,2,91
2865,Jigani,4303.5,2.0,226.0,4,113
2866,Bommasandra,1295.0,2.0,50.28,3,49
2867,Whitefield,1132.0,2.0,79.28,2,224
2868,Hebbal,1645.0,3.0,135.0,3,92
2869,Whitefield,1200.0,2.0,45.84,2,224
2870,Marathahalli,1937.0,3.0,140.0,3,161
2871,Doddathoguru,1015.0,2.0,33.5,2,70
2872,others,1080.0,2.0,39.0,2,230
2873,Kathriguppe,1350.0,2.0,80.99,3,132
2874,Kothanur,1185.0,2.0,59.0,2,146
2875,Domlur,1720.0,3.0,135.0,3,71
2876,Tindlu,1500.0,3.0,87.0,3,213
2877,Yelahanka,1566.0,3.0,97.0,3,226
2878,others,1500.0,4.0,110.0,4,230
2879,KR Puram,1290.0,2.0,49.02,2,115
2880,others,1531.0,3.0,72.0,3,230
2881,Whitefield,1140.0,2.0,39.0,2,224
2882,Tumkur Road,1343.5,3.0,57.76,3,214
2883,Banashankari Stage III,2000.0,4.0,100.0,4,29
2884,Kaval Byrasandra,1100.0,2.0,46.0,2,133
2885,others,1200.0,2.0,55.0,2,230
2886,Bannerghatta,1618.0,3.0,68.0,3,34
2887,Whitefield,2830.0,5.0,160.0,4,224
2888,Uttarahalli,1315.0,2.0,74.0,3,216
2889,Anandapura,1141.0,2.0,42.75,2,16
2890,AECS Layout,1080.0,2.0,55.0,2,10
2891,HBR Layout,1200.0,2.0,60.0,2,87
2892,Varthur,1111.0,2.0,41.88,2,217
2893,NGR Layout,1022.0,2.0,45.9,2,167
2894,Bannerghatta Road,1275.0,2.0,65.0,2,35
2895,others,900.0,2.0,70.0,2,230
2896,Rachenahalli,1224.0,2.0,39.2,2,183
2897,Battarahalli,1135.0,2.0,43.0,2,38
2898,Rachenahalli,1050.0,2.0,52.1,2,183
2899,Bellandur,1050.0,2.0,72.0,2,41
2900,Hosa Road,1513.0,3.0,103.0,3,101
2901,Gottigere,1621.0,3.0,72.0,3,82
2902,Bannerghatta Road,892.0,2.0,39.0,2,35
